+-----+-----------+
| day | total_mag |
+-----+-----------+
| 1   | 141.9     |
| 10  | 205.2     |
| 11  | 156.0     |
| 12  | 267.7     |
| 13  | 211.2     |
| 14  | 191.3     |
| 15  | 124.6     |
| 16  | 221.3     |
| 17  | 194.0     |
| 18  | 202.5     |
| 19  | 177.4     |
| 2   | 140.8     |
| 20  | 179.6     |
| 21  | 121.8     |
| 22  | 161.5     |
| 23  | 121.7     |
| 24  | 186.2     |
| 25  | 121.4     |
| 26  | 194.2     |
| 27  | 116.1     |
| 28  | 124.4     |
| 29  | 204.7     |
| 3   | 131.7     |
| 30  | 145.4     |
| 31  | 55.7      |
| 4   | 267.9     |
| 5   | 330.9     |
| 6   | 202.8     |
| 7   | 209.4     |
| 8   | 280.1     |
| 9   | 163.3     |
+-----+-----------+
